ds,y,yhat,yhat_lower,yhat_upper,error
2025-12-27 21:00:00,66681.0,73814.61068541447,64275.79422535594,83397.93862016831,7133.610685414475
2025-12-27 22:00:00,65117.0,71462.23907465402,61604.02665214386,80878.91086500994,6345.239074654019
2025-12-27 23:00:00,65389.0,68690.69321985394,59453.124109534096,78404.92247512304,3301.6932198539434
2025-12-28 00:00:00,65045.0,65890.68257345045,55406.01607897593,74838.75571968,845.6825734504528
2025-12-28 01:00:00,61767.0,63015.95967507517,53358.27570183889,72129.5466015991,1248.9596750751734
2025-12-28 02:00:00,59227.0,60331.262189527115,50348.24107919581,69907.26254351325,1104.262189527115
2025-12-28 03:00:00,57433.0,58295.88432470814,48960.81146566005,67858.99064801932,862.8843247081386
2025-12-28 04:00:00,56391.0,57187.91795681616,47253.7425958316,66312.2988798987,796.9179568161635
2025-12-28 05:00:00,56426.0,57019.03997431044,47366.905178804096,66961.62434680774,593.0399743104426
2025-12-28 06:00:00,57199.0,58572.419580864356,48669.38470702901,68228.05589906733,1373.4195808643562
2025-12-28 07:00:00,58424.0,61307.175519396864,52092.47002139615,70524.03471172453,2883.175519396864
2025-12-28 08:00:00,59561.0,64834.16470011873,55764.76648403414,74610.9376636848,5273.16470011873
2025-12-28 09:00:00,60009.0,67759.94887723002,57896.35192442666,77005.12922081532,7750.948877230025
2025-12-28 10:00:00,59235.0,68777.98604122378,59137.59418206704,78296.52786473955,9542.986041223776
2025-12-28 11:00:00,57817.0,68453.3279594845,58923.541405076765,78506.9771058758,10636.327959484493
2025-12-28 12:00:00,54970.0,67136.27589048688,57463.22272009771,76183.19537614755,12166.275890486882
2025-12-28 13:00:00,52466.0,66556.53781925161,56700.61788933505,75997.1937334883,14090.537819251607
2025-12-28 14:00:00,52333.0,67405.76530854819,57678.84742129481,76853.84223937652,15072.765308548187
2025-12-28 15:00:00,54127.0,69251.68285915421,59762.1593461094,78882.16479373488,15124.682859154214
2025-12-28 16:00:00,57689.0,72121.27263902186,62350.84322384789,81444.14076065837,14432.27263902186
2025-12-28 17:00:00,61198.0,74718.23060465555,64330.66944067745,84265.26653413245,13520.230604655546
2025-12-28 18:00:00,64553.0,76329.08321524467,67392.5293019162,85819.46078972303,11776.083215244667
2025-12-28 19:00:00,65599.0,76966.94811035958,67117.46990074821,86129.93965000584,11367.948110359575
2025-12-28 20:00:00,65165.0,77079.46298039517,67587.51052418744,86779.21801302404,11914.462980395168
2025-12-28 21:00:00,63921.0,76024.89682444902,65921.35571797038,85449.57640966198,12103.896824449024
2025-12-28 22:00:00,62425.0,74642.30030288782,65326.97143359795,84593.62744938648,12217.300302887816
2025-12-28 23:00:00,62170.0,72394.41359876172,63104.97994640153,82294.29443295988,10224.41359876172
2025-12-29 00:00:00,61555.0,70237.70780186453,61141.20981658555,79744.91005194685,8682.707801864526
2025-12-29 01:00:00,58659.0,68120.31383945275,58583.03128740263,77610.85218757862,9461.313839452749
2025-12-29 02:00:00,56294.0,66238.00713481824,56488.14068008983,76159.5053610566,9944.00713481824
2025-12-29 03:00:00,55141.0,64907.87758265226,54816.96122739946,74481.52416753578,9766.877582652261
2025-12-29 04:00:00,54793.0,64185.65067384593,53865.064998130416,73357.06368444055,9392.650673845928
2025-12-29 05:00:00,55556.0,64723.838338432506,55242.00475896689,74153.41032347763,9167.838338432506
2025-12-29 06:00:00,57898.0,66768.92605653485,57105.21453993646,76778.91768513201,8870.926056534852
2025-12-29 07:00:00,62399.0,69969.59179314433,60195.218866731164,79087.19415297013,7570.5917931443255
2025-12-29 08:00:00,69923.0,74055.24614892298,64312.35433033161,83220.50026493134,4132.246148922975
2025-12-29 09:00:00,78007.0,77147.71736933886,67437.9746369072,86123.74064871177,859.2826306611387
2025-12-29 10:00:00,79283.0,78883.42981951711,69378.67936130843,88281.62211139285,399.5701804828859
2025-12-29 11:00:00,77258.0,77940.99714344839,68100.83863577302,87524.07067469423,682.9971434483887
2025-12-29 12:00:00,74575.0,76191.48951118489,66744.481462419,85985.46849440954,1616.4895111848891
2025-12-29 13:00:00,70756.0,76027.80153995751,66547.80608772187,85487.51637899013,5271.801539957509
2025-12-29 14:00:00,72791.0,76235.39461352096,66589.22847109521,85917.90820538742,3444.3946135209553
2025-12-29 15:00:00,73688.0,78183.92244767639,68640.0381564851,87726.70749971352,4495.922447676392
2025-12-29 16:00:00,75148.0,81234.08006551204,71468.7881729102,91144.28185183475,6086.08006551204
2025-12-29 17:00:00,76726.0,84431.39212977285,75429.20615889037,93807.90236780648,7705.392129772852
2025-12-29 18:00:00,77111.0,86591.63002164543,77121.89382580825,96195.09483875053,9480.630021645426
2025-12-29 19:00:00,75606.0,87043.41456141567,77567.81457684735,96642.73320765446,11437.414561415673
2025-12-29 20:00:00,73947.0,86272.75969264266,76461.59756199238,96140.40202045448,12325.759692642663
2025-12-29 21:00:00,71554.0,85062.48682016358,75417.470862069,94445.46628021284,13508.486820163584
2025-12-29 22:00:00,69105.0,82603.92011818875,73297.23199215936,92106.32056828149,13498.920118188747
2025-12-29 23:00:00,68556.0,81367.73742655419,71754.40015530556,91174.23583060292,12811.737426554188
2025-12-30 00:00:00,67576.0,78708.21136491414,69029.45846041085,87741.03344634645,11132.21136491414
2025-12-30 01:00:00,63971.0,76217.17782629846,66308.00536235707,86110.06938498927,12246.177826298459
2025-12-30 02:00:00,61612.0,74577.84830106398,65210.57649232325,83964.80498522529,12965.848301063976
2025-12-30 03:00:00,60181.0,72780.35638695378,63908.4791255,82333.78430656141,12599.356386953776
2025-12-30 04:00:00,59559.0,71927.2262948074,61908.40713174275,81971.69912648013,12368.226294807406
2025-12-30 05:00:00,60181.0,71932.2181048303,62239.963207022905,82005.184019306,11751.218104830303
2025-12-30 06:00:00,62100.0,73170.77727746443,63664.09922121015,83048.18385675874,11070.777277464425
2025-12-30 07:00:00,66204.0,76430.21645873695,66752.96677143825,85641.96358692826,10226.216458736948
2025-12-30 08:00:00,73009.0,79693.88763877942,70158.00947241414,89026.40618134121,6684.887638779415
2025-12-30 09:00:00,79693.0,82341.61050030268,72185.12993162786,91882.34844035128,2648.610500302675
2025-12-30 10:00:00,78112.0,82295.30056834737,73485.44179968305,91855.56277658619,4183.300568347375
2025-12-30 11:00:00,73480.0,81008.84032422719,71775.22077233548,90855.85998199157,7528.840324227189
2025-12-30 12:00:00,68841.0,78778.22548874658,69427.1543466662,88395.33922710654,9937.225488746582
2025-12-30 13:00:00,64174.0,78105.15734987495,68848.28161636565,88498.72921387301,13931.15734987495
2025-12-30 14:00:00,66528.0,78302.2045541415,68855.03903898729,87969.95897910594,11774.2045541415
2025-12-30 15:00:00,68940.0,80565.30907251223,70427.46708472607,90329.66782457684,11625.309072512231
2025-12-30 16:00:00,72952.0,82962.64697575387,72939.44076530916,92704.51635617497,10010.646975753873
2025-12-30 17:00:00,77116.0,85808.27176695663,76627.1376337469,95732.66335951853,8692.271766956634
2025-12-30 18:00:00,78465.0,87642.32785705732,78305.60795916387,97668.45806148674,9177.327857057317
2025-12-30 19:00:00,77276.0,87870.46619912316,78403.3140025612,97709.26677592975,10594.466199123155
2025-12-30 20:00:00,75963.0,87257.20416483011,77584.2640603266,96625.50099007369,11294.20416483011
